"country","region","happiness_rank","happiness_score","standard_error","gdp_per_capita","family","life_expectancy","freedom","trust_government","generosity","dystopia_residual","year"
"Qatar",NA,35,6.375,NA,6.56847681432962,6.18152318567038,1.87076568603516,1.27429687976837,0.604130983352661,0.710098087787628,NA,2017
"Colombia",NA,36,6.35699987411499,NA,6.45202005416155,6.26197969406843,1.07062232494354,1.4021829366684,0.477487415075302,0.595027923583984,NA,2017
"Saudi Arabia",NA,37,6.3439998626709,NA,6.44416661202908,6.24383311331272,1.53062355518341,1.28667759895325,0.449750572443008,0.590148329734802,NA,2017
"Trinidad and Tobago",NA,38,6.16800022125244,NA,6.38153389066458,5.95446655184031,1.36135590076447,1.3802285194397,0.518630743026733,0.519983291625977,NA,2017
"Kuwait",NA,39,6.10500001907349,NA,6.1919569888711,6.01804304927588,1.63295245170593,1.25969874858856,0.496337592601776,0.632105708122253,NA,2017
"Slovakia",NA,40,6.09800004959106,NA,6.1773484121263,6.01865168705583,1.32539355754852,1.50505924224854,0.295817464590073,0.712732911109924,NA,2017
"Bahrain",NA,41,6.08699989318848,NA,6.17898906782269,5.99501071855426,1.48841226100922,1.32311046123505,0.536746919155121,0.653133034706116,NA,2017
"Malaysia",NA,42,6.08400011062622,NA,6.17997963652015,5.98802058473229,1.29121541976929,1.28464603424072,0.402264982461929,0.618784427642822,NA,2017
"Nicaragua",NA,43,6.07100009918213,NA,6.18658360034227,5.95541659802198,0.737299203872681,1.28721570968628,0.447551846504211,0.653095960617065,NA,2017
"Ecuador",NA,44,6.00799989700317,NA,6.10584767535329,5.91015211865306,1.00082039833069,1.28616881370544,0.4551981985569,0.685636222362518,NA,2017
"El Salvador",NA,45,6.00299978256226,NA,6.108635122329,5.89736444279552,0.909784495830536,1.18212509155273,0.432452529668808,0.596018552780151,NA,2017
"Poland",NA,46,5.97300004959106,NA,6.05390834122896,5.89209175795317,1.29178786277771,1.44571197032928,0.520342111587524,0.699475347995758,NA,2017
"Uzbekistan",NA,47,5.97100019454956,NA,6.06553757295012,5.876462816149,0.786441087722778,1.54896914958954,0.658248662948608,0.498272627592087,NA,2017
"Italy",NA,48,5.96400022506714,NA,6.04273690596223,5.88526354417205,1.39506661891937,1.44492328166962,0.256450712680817,0.853144347667694,NA,2017
"Russia",NA,49,5.96299982070923,NA,6.03027490749955,5.89572473391891,1.28177809715271,1.46928238868713,0.373783111572266,0.547349333763123,NA,2017
"Belize",NA,50,5.95599985122681,NA,6.19724231779575,5.71475738465786,0.907975316047668,1.08141779899597,0.547509372234344,0.450191766023636,NA,2017
"Japan",NA,51,5.92000007629395,NA,5.99071944460273,5.84928070798516,1.41691517829895,1.43633782863617,0.505625545978546,0.913475871086121,NA,2017
"Lithuania",NA,52,5.90199995040894,NA,5.98266964137554,5.82133025944233,1.31458234786987,1.47351610660553,0.234231784939766,0.62894994020462,NA,2017
"Algeria",NA,53,5.87200021743774,NA,5.97828643366694,5.76571400120854,1.09186446666718,1.1462174654007,0.233335807919502,0.617584645748138,NA,2017
"Latvia",NA,54,5.84999990463257,NA,5.92026353821158,5.77973627105355,1.26074862480164,1.40471494197845,0.325707912445068,0.638566970825195,NA,2017
"South Korea",NA,55,5.83799982070923,NA,5.92255902826786,5.7534406131506,1.40167844295502,1.12827444076538,0.257921665906906,0.900214076042175,NA,2017
"Moldova",NA,56,5.83799982070923,NA,5.90837083846331,5.76762880295515,0.728870630264282,1.25182557106018,0.240729048848152,0.589465200901031,NA,2017
"Romania",NA,57,5.82499980926514,NA,5.91969415679574,5.73030546173453,1.21768391132355,1.15009129047394,0.457003742456436,0.685158312320709,NA,2017
"Bolivia",NA,58,5.82299995422363,NA,5.9039769025147,5.74202300593257,0.833756566047668,1.22761905193329,0.558732926845551,0.473630249500275,NA,2017
"Turkmenistan",NA,59,5.82200002670288,NA,5.88518087550998,5.75881917789578,1.13077676296234,1.49314916133881,0.41827192902565,0.437726080417633,NA,2017
"Kazakhstan",NA,60,5.81899976730347,NA,5.90364177465439,5.73435775995255,1.28455626964569,1.38436901569366,0.437454283237457,0.606041550636292,NA,2017
"North Cyprus",NA,61,5.80999994277954,NA,5.89736646488309,5.72263342067599,1.3469113111496,1.18630337715149,0.471203625202179,0.834647238254547,NA,2017
"Slovenia",NA,62,5.75799989700317,NA,5.84222516000271,5.67377463400364,1.3412059545517,1.45251882076263,0.572575807571411,0.790828227996826,NA,2017
"Peru",NA,63,5.71500015258789,NA,5.81194677859545,5.61805352658033,1.03522527217865,1.21877038478851,0.450002878904343,0.630166113376617,NA,2017
